1,21,20647
2,58,45818
3,53,49167
4,49,51983
5,38,52028
6,46,47456
7,56,25083
8,28,48296
9,54,20447
10,46,25885
11,45,50957
12,36,50948
13,38,21668
14,42,43697
15,28,24583
16,39,44826
17,49,36872
18,35,23575
19,35,48114
20,33,47865
21,20,55219
22,44,38980
23,39,36900
24,30,27210
25,46,45943
26,27,36517
27,49,24316
28,29,35408
29,24,30160
30,41,40226
31,34,39586
32,30,23913
33,22,35875
34,22,53023
35,30,49930
36,20,47371
37,44,45313
38,21,39031
39,37,28975
40,20,42634
41,42,21539
42,46,20161
43,53,58202
44,52,34638
45,40,50669
46,38,28237
47,33,41818
48,36,31775
49,41,29548
50,32,25573
51,20,50890
52,31,48155
53,36,50202
54,31,44494
55,22,49488
56,35,39995
57,38,20311
58,49,20806
59,53,46490
60,28,40020
61,56,39791
62,37,40325
63,29,22752
64,28,26129
65,47,28184
66,45,23422
67,48,42663
68,22,35643
69,54,58418
70,36,23773
71,30,37370
72,30,31475
73,29,42375
74,41,45959
75,46,29616
76,42,42996
77,29,34570
78,26,58143
79,58,56811
80,43,50451
81,41,36954
82,57,48701
83,31,20564
84,20,55232
85,31,27837
86,42,21750
87,50,36898
88,33,38725
89,20,36455
90,50,33561
91,35,45138
92,33,40195
93,43,45938
94,57,29294
95,37,24941
96,53,20281
97,38,21605
98,56,41654
99,43,35463
100,22,51263
101,35,29936
102,44,47536
103,29,29307
104,33,41796
105,23,38059
106,56,58831
107,48,38130
108,46,43669
109,30,24028
110,30,43206
111,49,44379
112,36,48279
113,25,36399
114,23,39102
115,42,49010
116,47,54858
117,21,53693
118,37,32220
119,35,32570
120,50,57606
121,34,42568
122,48,25022
123,34,35012
124,53,56190
125,41,44986
126,53,55356
127,50,51944
128,47,46081
129,53,34219
130,48,54633
131,56,25225
132,44,58550
133,26,43290
134,27,42256
135,40,58195
136,47,27997
137,49,20464
138,52,48697
139,44,24638
140,41,48018
141,57,53314
142,51,32483
143,53,46217
144,56,21387
145,39,31374
146,56,51657
147,55,25537
148,56,21527
149,31,35194
150,25,50143
151,57,23354
152,29,52062
153,23,23705
154,25,34196
155,50,33618
156,46,26021
157,26,21927
158,58,24272
159,45,25138
160,35,29961
161,51,45642
162,52,38452
163,45,38158
164,48,56256
165,45,34833
166,59,29790
167,33,22050
168,47,46173
169,26,27062
170,36,59108
171,33,32564
172,49,46027
173,24,53405
174,23,26838
175,30,55191
176,30,37454
177,20,25364
178,22,37694
179,45,51043
180,39,22087
181,43,28755
182,36,56480
183,44,24192
184,58,53806
185,44,53307
186,39,25276
187,59,22106
188,22,37655
189,55,55193
190,30,23753
191,44,46827
192,50,36144
193,56,42593
194,28,32570
195,43,41078
196,50,20223
197,20,52852
198,34,22330
199,23,28295
200,58,30245
201,57,55133
202,56,51761
203,46,33334
204,32,37663
205,58,43277
206,52,29694
207,28,50659
208,21,45953
209,57,41060
210,32,34684
211,20,28472
212,44,52027
213,43,43369
214,40,40127
215,29,38444
216,57,29782
217,55,37390
218,57,56854
219,38,42620
220,28,32245
221,46,59823
222,59,49736
223,33,34482
224,43,50518
225,28,51729
226,40,37593
227,35,29280
228,58,40592
229,45,27493
230,34,44419
231,50,22179
232,38,57109
233,56,59588
234,24,27583
235,53,22754
236,29,44207
237,31,53873
238,57,55996
239,23,20941
240,39,21060
241,53,25052
242,30,30372
